Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,76.9946341463415,79.2341463414634,82.4,82.4487804878049,82.5,82.7487804878049,82.9,83.2,83.3,83.2,83.0512195121951,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,75.5682926829269,78.1268292682927,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,81.190243902439,81.2951219512195,81.5414634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,62.75,65.377,72.349,72.568,72.694,73.016,73.29,70.312,70.999,74.125,74.429,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,70.945,72.481,73.805,74.042,74.031,74.062,71.408,72.994,70.752,74.491,74.552,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,72.587,74.673,80.338,80.407,80.407,80.412,80.471,78.683,78.083,80.992,81.284,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,55.822,62.049,70.543,71.075,71.606,72.122,72.625,71.421,71.103,74.265,74.672,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,73.463,74.58,76.055,76.168,76.237,76.378,76.495,76.647,76.58,75.676,76.178,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,70.8365853658537,68.9121951219512,73.6243902439025,73.8268292682927,74.1292682926829,74.1756097560976,74.2268292682927,72.1385609756098,72.0714634146342,74.1033658536585,74.1837804878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,76.0519512195122,77.7219512195122,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195,81.790243902439,81.7487804878049,82.3975609756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,69.569,68.911,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19,73.566,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,53.02,56.594,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475,60.774,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,73.952,78.251,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062,82.309,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,55.811,61.842,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754,72.975,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,56.797,62.057,67.205,67.392,67.536,67.699,67.82,62.906,61.427,67.434,68.581,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,71.509,75.292,77.073,77.124,77.385,77.942,77.394,76.04,74.567,76.777,77.85,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,60.104,52.263,63.215,64.32,65.42,66.371,67.167,67.643,63.303,68.749,69.163,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,65.862,69.584,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,72.392,74.753,76.558,76.624,75.67,76.728,76.845,76.894,75.297,77.177,77.276,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,71.629,74.017,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917,75.327,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.6414634146342,71.6634146341463,74.6146341463415,74.8121951219512,74.8146341463415,74.9634146341464,75.1121951219512,73.3560975609756,71.2121951219512,74.1609756097561,75.7073170731707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,49.315,50.808,58.778,59.173,59.578,59.972,60.184,60.454,60.046,60.7,61.092,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,45.184,47.617,60.107,60.789,61.345,61.806,62.18,62.569,62.101,62.882,63.651,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,63.869,68.117,74.096,74.35,74.71,74.84,75.449,73.818,74.424,75.907,76.059,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,55.205,59.491,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528,70.668,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,54.348,53.338,59.687,60.293,60.817,61.189,61.695,61.674,61.146,62.443,63.7,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,77.4365853658537,79.1668292682927,81.8258536585366,81.94,81.8129268292683,81.8087804878049,82.1636585365854,81.5351219512195,81.5168292682927,81.2453658536585,81.6465853658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,72.744,74.378,78.119,78.367,78.615,78.835,79.052,79.23,79.3,79.984,80.358,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,49.854,46.609,51.934,50.999,45.231,52.297,31.53,50.596,40.279,18.818,57.408,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,45.074,47.937,51.32,51.603,51.875,52.447,52.993,53.082,53.136,54.528,55.069,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,76.3,78.8,81.4,81.2,81,81.1,81.2,80.9,80.3,81,81.1,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,73.675,77.128,80.008,80.295,80.61,80.559,80.324,79.349,78.876,79.176,81.167,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,68.155,72.288,76.975,77.214,77.235,77.709,77.94,78.019,78.117,78.202,77.953,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,68.701,70.905,76.067,76.228,76.418,76.579,76.793,74.757,72.698,76.508,77.725,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,55.62,58.941,64.473,64.792,65.127,65.401,65.662,65.756,65.201,66.481,66.777,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,48.538,51.887,58.658,59.081,59.495,59.926,60.242,60.428,60.044,60.979,61.895,..
